"GeneID"	"control_1"	"control_2"	"control_3"	"control_4"	"control_5"	"control_6"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"
"Zm00001eb000220"	23.95	17.93	28.22	25.77	27.35	31.5	28.74	25.94	32.15	37.39	42	42.24
"Zm00001eb000480"	88.34	87.57	89.99	84.24	83.44	88.25	126.11	125.54	117.12	122.67	108.74	117.7
"Zm00001eb000510"	5.76	5.11	44.52	43	10.26	8.62	5.82	5.51	18.03	18.19	6.85	10.26
"Zm00001eb000620"	23.42	22.32	75.94	79.49	24.92	25.67	19.65	19.52	40.44	38.91	28.93	27.95
"Zm00001eb000700"	78.08	71.65	25.47	23.79	52.16	55.21	74.74	61.14	23.79	17.48	31.56	29.46
"Zm00001eb000770"	70.68	67.38	118.1	116.84	203.55	162.42	49.29	53.6	174.41	171	134.65	129.71
"Zm00001eb001060"	7.2	4.6	1.15	1.21	29.06	24.24	5.09	6.7	40.68	41.75	30.06	30.03
"Zm00001eb001170"	6.77	6.7	112.81	109.49	13.87	12.91	8.76	6.7	140.83	138.35	22.36	26.21
"Zm00001eb001280"	38.03	47.3	21.19	18.89	25.78	20.4	17.37	20.12	58.91	69.89	44.1	38.22
"Zm00001eb001400"	45.86	44.27	35.81	32.67	77.28	67.63	44.81	38.57	33.76	40.54	43.05	40.38
"Zm00001eb001570"	28.32	25.75	7.38	7.92	20.28	24.48	27.42	28.65	10.51	11.48	24.46	23.4
"Zm00001eb001680"	33.98	37.41	31.55	24.71	33.96	34.29	29.34	30.35	30.42	29.35	27.66	28.31
"Zm00001eb001840"	29.84	28.44	325.85	324.27	43.88	38.24	30.07	30.35	139.24	142.23	26.13	25.79
"Zm00001eb001940"	12.16	10.63	106.94	107.69	12.32	19.34	10.53	8.81	126.69	128.03	26.82	24.68
"Zm00001eb001950"	4.4	4.61	454.1	465.6	17.52	17.13	6.64	8.5	74.26	77.52	38.83	40.26
"Zm00001eb002270"	6.52	7.22	3179.48	3118.96	20.36	18.23	7.37	6.24	426.37	411.27	11.93	11.86
"Zm00001eb002320"	98.79	107.86	48.19	41.91	104.27	87.74	69.84	87.59	49.18	45.71	56.34	50.29
"Zm00001eb002420"	14.73	12.74	25.04	26.54	23.63	22.63	15.31	18.49	24.23	24.27	12.16	10.73
"Zm00001eb002490"	16.69	13.93	33.23	29.78	12.93	15.69	18.85	20.63	40.09	42	17.29	12.79
"Zm00001eb002530"	39.49	44.06	20.23	18.98	39.81	42.96	41.65	38.66	36.48	33.83	45.11	44.72
"Zm00001eb002550"	16.25	17.68	18.61	16.82	9.92	19.95	12.66	13.51	8.82	9.98	12.49	13.8
"Zm00001eb002690"	5.73	5.83	29.31	30.6	17.79	20.66	1.14	3.65	24.82	22.79	4.99	5.65
"Zm00001eb002870"	15.77	13.4	18.75	19.62	11.88	12.83	16.35	19.28	27.67	27.65	24.97	26.82
"Zm00001eb003170"	4.72	3.28	71.43	74.94	31.08	23.64	2.98	1.85	56.57	56.67	8.3	9.38
"Zm00001eb003180"	325.44	327.1	86.71	84.29	188.91	179.12	230.38	230.48	106.19	99.75	64.02	65.29
"Zm00001eb003350"	60.08	54.2	18.35	18.54	35.68	38.34	46.59	47.97	16.35	17.37	16.44	19.98
"Zm00001eb003360"	84.75	89.8	109.2	98.93	55.93	49.34	94.33	99.37	90.82	100.9	33.22	32.85
"Zm00001eb003420"	39.54	39.05	22.48	20.46	32.71	32.89	28.72	23.93	20.66	17.1	12.46	8.79
"Zm00001eb003440"	15.46	15.04	519.67	520.59	51.79	39.38	97.34	92.68	271.27	276.45	128.86	131.48
"Zm00001eb003480"	24.92	19.24	15.64	18.49	20.83	17.8	18.96	14.93	40.8	44.53	36.33	33.97
"Zm00001eb003490"	17.6	20.08	6.78	8.97	24.59	31.16	22.78	21.8	15.7	16.58	24.17	23.13
"Zm00001eb003540"	50.14	47.35	28.33	27.98	38.09	37.85	41.02	45.46	36.49	33.46	34.45	32.04
"Zm00001eb003750"	53.45	52.32	0.73	0.35	25.54	21.45	36.88	34.78	2.54	3.43	20.2	16.59
"Zm00001eb003760"	4.6	4.94	36.17	34	11.52	12.4	10.91	11.09	307.1	308.27	28.6	30.32
"Zm00001eb003830"	39.75	38.08	48.81	47.2	116.95	128.74	51.61	57.39	99.87	99.88	209.38	196.45
"Zm00001eb004210"	4.61	5.58	30.08	30.02	10.51	11.3	6.43	5.28	40.63	46.44	13.25	11.58
"Zm00001eb004310"	27.69	27.22	33.54	32.61	28.09	25.6	20.97	24.57	33.54	37.69	22.02	22.21
"Zm00001eb004340"	4.52	4.47	140.3	140.67	9.96	12.68	5.67	6.06	89.81	88.75	9.58	8.71
"Zm00001eb004370"	11.48	12.24	26.45	30.3	15.01	17.72	15.69	16.81	24.66	24.58	22.16	23.25
"Zm00001eb004390"	87.25	92.06	64.02	58.11	152.11	128.74	118.31	128.33	111.49	112.07	75.87	72.3
"Zm00001eb004420"	74.33	67.95	88.21	84.21	55.01	61.13	98.97	99.62	322.59	323.79	235.89	226.37
"Zm00001eb004440"	8.05	7.99	35.22	34.69	4.95	6.63	10.45	10.93	29.38	29.09	6.19	6.93
"Zm00001eb004490"	16.82	15.62	27.04	28.96	20.77	19.05	29.61	29.98	39.62	38.79	280.21	271.21
"Zm00001eb004630"	2.51	2.21	30.85	30.96	6.07	6.58	5.74	7.79	162.7	165.69	101.63	98.39
"Zm00001eb004660"	71.08	74.56	151.28	146.99	86.37	100.97	82.37	72.34	192.76	211.28	116.52	113.19
"Zm00001eb004790"	15.89	17.67	48.73	49.41	18.8	20.1	20.68	19.1	30.26	24.89	13.76	16.1
"Zm00001eb005220"	24.59	27.1	21.17	24.36	29.84	24.46	34.86	26.14	26.28	27.14	27.97	31.73
"Zm00001eb005330"	6.78	7.19	284.59	303.28	20.81	21.24	8.95	8.89	119.1	114.87	34.78	39.94
"Zm00001eb005380"	3.56	4.38	59.63	57.17	8.53	8.89	4.67	4.86	66.76	69.89	47.31	46.97
"Zm00001eb005460"	0.82	1.76	330.01	316.97	34.71	34.06	1.27	2.88	210.11	213.92	66.09	63.39
"Zm00001eb005530"	5.59	4.96	16.53	19.65	51.67	59.37	8.66	7.74	42.57	43.18	60.11	57.5
"Zm00001eb005680"	15.33	16.37	31.64	27.06	24.32	23.12	25.95	22.61	3.41	4.24	18.88	23.06
"Zm00001eb005820"	38.36	38.05	48.77	46.88	57.81	59.21	56.82	58.2	19.46	22.23	52.94	46.95
"Zm00001eb005940"	3.39	4.71	40.71	34.63	12.6	13.67	1.54	1.97	41.95	47.18	32.04	33.24
"Zm00001eb005950"	14.38	14.3	30.9	28.09	19.52	19.38	22.97	24.45	23.74	25.21	25.03	23.56
"Zm00001eb005960"	97.12	99.46	78.64	71.62	88.29	93.81	61.94	64.07	135.67	126.06	68.41	69.99
"Zm00001eb006020"	96.27	101.65	32.54	35.11	486.65	386.3	152.23	143.34	46.28	40.83	248.95	238.19
"Zm00001eb006080"	13.47	13.6	46.49	51.57	15.52	20.01	17.15	15.58	65.73	73.04	27.42	29.94
"Zm00001eb006270"	19.21	17.39	12.93	13.02	55.72	60.9	29.49	30.67	46.2	44.73	108.21	107.68
"Zm00001eb006690"	78.07	90.47	5.22	6.56	147.47	118.04	228.22	239.74	14.13	13.58	58.29	59.47
"Zm00001eb006720"	1.66	1.69	16.79	16.93	3.69	1.68	4.14	4.48	36.82	42.35	15.75	15.18
"Zm00001eb007170"	33.86	26.59	15.8	9.69	18.17	15.19	22.96	25.55	5.95	5.3	12.65	11.27
"Zm00001eb007250"	8.17	8.89	10.12	10.81	13.29	14.13	9.59	9.59	16.51	15.18	15.36	15.31
"Zm00001eb007280"	0.51	0.6	89.91	85.88	1.28	2.23	0.26	0.26	100.39	100.59	38.81	36.77
"Zm00001eb007320"	11.07	15.4	99.58	103.25	15.99	10.51	16.02	15	78.35	67.76	137.29	139.34
"Zm00001eb007670"	35.8	40.48	102.46	104.31	32.02	28.36	34.79	36.86	253.55	255.36	311.76	316.06
"Zm00001eb007810"	29.92	27.68	9.47	10	32.2	28.44	26.2	29.48	9.18	7.61	26.49	24.02
"Zm00001eb007860"	170.81	154.82	90.68	85.22	126.64	126.04	145.89	128.08	83.61	86.7	48.67	44.94
"Zm00001eb008080"	27.45	26.99	60.41	68.22	116.58	102.26	60.4	67.54	43.89	38.57	79.26	81.31
"Zm00001eb008170"	7.09	8.08	17.79	14.8	50.61	52.09	12.12	11.13	5.87	4.29	62.02	63.17
"Zm00001eb008360"	90.48	86.74	101.39	106.61	33.2	36.96	118.64	128.1	44.65	42.35	89.4	84.59
"Zm00001eb008440"	16.11	17.78	9.8	11.48	35.69	36.22	30.11	30.1	34.99	37.83	34.44	36.27
"Zm00001eb008550"	128.54	131.3	61.8	58.41	125.26	132.05	119.57	125.04	142.7	137.38	147.99	148.56
"Zm00001eb008610"	58.69	61.04	57.375	59.93	65.22	76.275	46.025	45.605	64.305	63.015	41.195	40.695
"Zm00001eb008910"	15.75	12.09	160.7	166.99	13.08	10.07	8.53	7.08	74.14	76.83	9.37	9.52
"Zm00001eb008920"	1.11	1.31	25.13	21.09	19.31	15.58	1.61	1.24	43.98	48.9	4.69	3.69
"Zm00001eb009090"	0.59	0.25	104.98	110.75	68.62	64.96	0.53	0.53	34.36	32.81	34.87	35.69
"Zm00001eb009240"	19.61	21.45	65.6	64.05	14.82	15.73	26.14	26.02	43.33	53.54	17.32	18.43
"Zm00001eb009250"	1.17	2.23	44.77	46.5	3.29	2.39	5.88	6.54	59.59	53.01	19.15	18.9
"Zm00001eb009430"	29.9	25.3	10.13	11.62	23.6	24.22	32.07	26.84	24.51	23.05	73.46	77.56
"Zm00001eb009500"	14.18	14.86	82.24	93.54	17.53	13.64	18.38	15.16	58.11	54.46	26.24	21.39
"Zm00001eb009510"	23.06	21.92	3.03	6.01	52.91	53.6	19.65	17.85	4.86	5.16	18.86	17.09
"Zm00001eb009550"	6.39	7.02	21.49	21.67	30.43	18.3	11.67	12.78	25.82	25.15	156.18	163.44
"Zm00001eb009890"	20.82	19.43	41.9	44.93	59.33	71.88	35.06	34	17.05	17.84	70.04	66.45
"Zm00001eb010040"	55.11	57.37	101.8	89.68	103.87	93.67	81.06	84.27	123.82	123.74	118.96	102.55
"Zm00001eb010130"	30.62	28.22	1.66	2.03	30.18	28.22	57.84	59.64	6.14	6.41	18.16	17.42
"Zm00001eb010140"	6.07	8.12	11.17	12.49	54.23	64.2	6.29	7.17	45	41.01	199.78	188.77
"Zm00001eb010150"	45.37	48.86	6.77	4.95	41.3	44.44	38.66	40.67	8.6	8.6	29.43	29.69
"Zm00001eb010300"	114.02	106.2	43.24	41.55	77.9	76.72	104.24	94.17	47.75	42.33	38.69	54.01
"Zm00001eb010310"	19.33	19.75	14.71	13.33	10.36	9.64	17.91	20.37	18.36	15.39	10.61	10.97
"Zm00001eb010320"	9.38	9.18	23.41	26.37	41.92	30.71	10.31	9.92	20.03	24.12	13.21	15.29
"Zm00001eb010370"	129.62	127.58	242.57	246.35	68.26	61.37	100.84	95.92	145.86	134.83	100.18	93.37
"Zm00001eb010400"	36.18	36.87	59.77	60.28	48.12	50.53	37.21	39.32	70.16	73.36	41.33	46.38
"Zm00001eb010790"	35.3	35.45	42.87	41.32	60.49	71.47	40.33	37.98	69.61	74.89	64.96	62.95
"Zm00001eb011020"	39.68	35.28	58.7	65.61	58.61	68.59	42.55	40.55	89.59	85.39	40.52	40.04
"Zm00001eb011080"	14.54	15.43	1789.55	1813.09	7.24	6.37	15.82	16.8	345.98	350.38	3.6	5.22
"Zm00001eb011420"	79.25	65.64	64.58	57.94	56.19	59.37	62.82	66.92	59.48	58.13	86.2	85.38
"Zm00001eb011590"	46.62	40.84	39.08	36.67	31.27	34.82	41.57	45.72	45.02	39.89	26.96	24.87
"Zm00001eb011610"	6.48	11.06	20.52	22.52	17.37	16.61	4.05	6.87	23.98	26.68	20.59	27.6
"Zm00001eb011620"	40.31	38.63	19.12	16.21	32.38	26.62	28.92	28.57	23.78	25.81	20.18	22.19
"Zm00001eb011670"	44.63	43.68	136.45	126.5	59.85	66.04	46.72	51.57	67	69.29	84.94	87.38
"Zm00001eb011760"	33.38	32.84	157.41	150.45	41.5	37.1	37.83	38.82	121.7	122.93	61.6	59.69
"Zm00001eb011900"	94.95	92.87	129.34	122.5	118.97	122.46	214.93	216.85	317.81	320.9	1381.38	1398.56
"Zm00001eb012000"	25.49	26.54	13.74	10.78	14.11	17.93	22.84	24.89	13.77	15.09	31.89	32.14
"Zm00001eb012270"	28.74	26.74	199.67	199.94	215.5	202.71	24.89	22.07	496.29	493.01	255.35	265.66
"Zm00001eb012470"	1.72	2.07	292.74	287.32	6.72	5.45	3.49	3.37	403.48	404.35	39.44	37.68
"Zm00001eb012540"	14.86	13.7	64.99	67.18	25.21	24.45	16.37	17.36	42.07	43.2	30.05	29.53
"Zm00001eb012600"	41.21	43.27	19.16	20.5	35.78	35	33.94	35.58	27.5	29.64	21.53	24.98
"Zm00001eb012610"	39.46	41.75	46.6	45.81	81.88	92.13	45.85	41.64	54.18	57.71	74.86	76.92
"Zm00001eb012690"	19.17	25.14	18.3	18.21	20.84	26.78	28.2	30.74	13.05	12.88	19.74	18.84
"Zm00001eb012780"	6.47	3.33	6.04	6.64	15.54	16.76	6.9	8.43	11.71	13.86	19.77	22.44
"Zm00001eb012790"	5.4	5.53	73.26	69.71	35.36	29.46	14.73	15.98	79.62	74.35	79.53	80.57
"Zm00001eb013030"	7.13	9.82	152.21	151.99	12.31	12.6	13.85	10.17	79.43	75.88	15.62	14.04
"Zm00001eb013080"	469.83	482.76	361.19	343.11	419.58	397.12	394.93	394.91	464.42	458.54	242.99	251.69
"Zm00001eb013270"	13.01	13.01	13.6	13.8	16.46	19.58	14.21	14.01	10.4	8.76	18.64	19.21
"Zm00001eb013490"	111.3	104.51	54.77	52.35	114.35	119.31	81.84	79.68	40.01	38.89	65.75	72.42
"Zm00001eb013750"	328.22	332.62	158.6	156.39	235.17	253.97	299.97	298.17	131.99	135.57	92.63	92.09
"Zm00001eb013840"	54.4	54.09	64.37	62.42	63.76	71.69	53.1	46.44	57.93	55.63	52.45	51.26
"Zm00001eb013870"	70.49	72.71	15.7	15.96	52.84	48.23	103.27	95.6	16.05	15.22	69.43	76.11
"Zm00001eb013900"	153.24	154.17	192.7	177.76	179.18	173.16	173.2	181.16	197.57	184.33	76.54	107.15
"Zm00001eb013940"	43.99	40.12	41.02	43.5	20.03	20.58	23.53	21.88	32.52	37.25	12.13	11.46
"Zm00001eb014050"	23.3	26.78	23.49	24.25	54.94	42.4	24.09	22.29	32.96	30.08	62.86	69.64
"Zm00001eb014600"	37.72	39.61	163.43	170.8	148.76	134.73	66.48	65.16	296.82	289.06	130.79	131.9
"Zm00001eb014630"	7.39	9.46	21.4	21.22	13.73	18.64	13.03	14.86	46.53	45.02	36.54	34.29
"Zm00001eb014740"	28.06	27.09	52.33	59.97	39.86	40.69	36.14	31.91	58.5	66.77	42.43	41.86
"Zm00001eb015010"	150.88	149.42	87.11	91.3	155.55	141.33	139.78	121.05	112.95	117.45	110.61	126.7
"Zm00001eb015050"	14.43	13.63	6.12	5.65	24	17.02	14.33	14.74	36.52	34.59	33.49	32.54
"Zm00001eb015070"	10.73	11.14	72.87	63.74	15.96	16.72	13.88	11.25	38.05	40.02	13.41	11.18
"Zm00001eb015200"	202.19	201.01	111.07	114.97	183.13	198.53	143.28	137.75	150.33	158.91	70.33	66.02
"Zm00001eb015210"	39.85	35.34	161.62	157.59	43.59	46.55	56.26	52.87	170.28	169.73	67.87	69.84
"Zm00001eb015330"	134.61	122.11	56.6	52.02	74.19	82.13	81.03	77.01	68.63	66.87	33.87	43.76
"Zm00001eb015400"	1.9	2.11	69.1	64.65	6.99	3.49	17.05	18.84	393.62	364.49	36.9	40.68
"Zm00001eb015440"	26.88	27.99	33.65	33.68	31.01	31.76	77.91	77.47	62.82	60.17	151.57	155.07
"Zm00001eb015550"	25.11	29.52	150.76	140.37	20.29	17.95	54.96	55.14	204.48	195.19	217.55	220.59
"Zm00001eb015750"	15.95	16.12	18.02	20.06	11.67	14.01	6.6	9.1	21.68	21.85	12.5	13.9
"Zm00001eb015790"	5.92	5.71	103.5	110.5	13.49	13.26	6.58	8.1	42.99	39.25	12.02	13.54
"Zm00001eb015860"	50.05	47.92	42.57	46.53	48.06	53.95	62.54	62.81	51.35	50.73	62.27	59.61
"Zm00001eb015880"	7.98	7.25	53.59	49.48	10.13	10.49	7.77	7.15	45.87	39.72	8.97	10.68
"Zm00001eb015950"	3.31	7.55	457.95	462.6	14.67	15.46	14.33	13.56	91.15	90.43	23.34	24.29
"Zm00001eb015960"	35.85	37.36	7	6.91	35.38	36.48	42.04	52.5	18.22	18.86	67.78	66.08
"Zm00001eb016080"	10.19	10.26	15.7	16.4	13.12	10.63	6.83	8.1	5.46	7.08	6.6	6.31
"Zm00001eb016110"	117.84	136.33	57.63	48.33	125.8	104.04	166.76	170.38	45.25	51.11	131.21	138.54
"Zm00001eb016180"	13.31	14.97	14.49	16.13	21.73	23.25	8.8	10	7.46	8.71	50.86	53.81
"Zm00001eb016200"	39	43.04	0.6	0.72	10.74	11.68	23.45	25.21	0.15	0.46	1.27	1.91
"Zm00001eb016290"	5.07	5.23	31.41	38.84	10.39	12.65	59.39	63.92	87.8	85.14	150.98	137.87
"Zm00001eb016420"	92.87	96.13	79.54	63.69	129.45	117.64	193.84	199.23	78.21	93.58	466.22	480.36
"Zm00001eb016450"	27.9	26.93	107.66	98.45	42.33	37.24	25.12	23.68	45.72	42.22	24	20.23
"Zm00001eb016560"	28.79	27.09	49.03	48.95	26.99	33.81	36.58	36.66	49.71	50.45	30.76	35.18
"Zm00001eb016620"	8.98	10.34	500.82	505.19	15.14	12.53	6.42	7.29	84.31	78.87	37.8	38.27
"Zm00001eb016800"	0.98	0.92	26.2	24.7	6.67	6.59	2.41	2.49	44.22	44.63	13	12.41
"Zm00001eb016850"	2.56	1.62	139.25	135.57	9.81	10.39	19.95	19.45	364.94	384.41	181.66	181.67
"Zm00001eb016940"	139.41	143.85	122.77	125.42	198.25	193.82	192.65	197.08	294.48	262.85	321.25	331.85
"Zm00001eb017180"	11.94	10.92	81.66	91.21	6.75	16.27	10.92	9.01	27.63	23.6	5.69	6.44
"Zm00001eb017460"	12.43	13.12	9.4	9.96	13.82	15.94	12.12	13.12	26.67	24.35	33.52	36.13
"Zm00001eb017600"	76.8	71.08	107.75	120.14	83.34	87.43	50.64	57.48	104.69	109.03	91.84	87.33
"Zm00001eb017630"	2.95	3.57	42.99	45.37	3	2.73	4.24	5.25	11.51	11.07	9.59	10.94
"Zm00001eb018320"	19.79	19.95	61.69	47.91	19.66	15.66	17.4	15.76	34.77	38.77	5.87	6.34
"Zm00001eb018910"	1.54	2.6	603.99	590.33	11.5	8.27	3.19	2.12	845.88	859.55	120.16	140.88
"Zm00001eb018970"	12.43	11.15	18.36	20.56	12.87	14.85	13.88	14.46	48.13	45.2	17.96	18.95
"Zm00001eb018980"	57.66	52.75	42.93	51.6	83.47	81.4	56.97	55.49	58.9	52.58	50.66	46.7
"Zm00001eb018990"	723.94	760.83	208.43	200.15	326.08	328.36	622.22	625.91	220.38	222.38	366.27	363.81
"Zm00001eb019290"	48.14	49.38	24.86	21.46	33.18	36.44	62.12	63.4	26.31	24.5	37.64	40.37
"Zm00001eb019470"	17.86	15.68	62.19	55.57	46.86	44.24	17.54	21.6	75.99	69.1	51.43	52.51
"Zm00001eb019520"	32.16	30.05	42.68	37.09	19.93	24.44	32.01	34.17	41.39	46.55	24.95	26.96
"Zm00001eb019530"	1.31	2.09	37.44	42.12	11.03	11.94	2.38	0.85	39.28	39.59	18.62	14.17
"Zm00001eb019650"	17.91	22.12	16.8	18.24	12.56	11.29	15.22	15.98	29.36	25	83.77	77.62
"Zm00001eb019730"	135.74	136.93	41.22	43	75.52	68.5	72.19	76.28	59.83	63.87	35.8	40.43
"Zm00001eb019830"	1.31	3.76	253.48	241.2	11.2	9.44	5.42	10.6	143.97	136.23	49.31	54.95
"Zm00001eb020110"	283.32	285.64	9.97	14.09	204.94	184.69	175.8	170.96	8.78	10.97	65.15	63.72
"Zm00001eb020120"	21.84	20.88	36.14	28.49	23.35	19.71	40.9	48	43.94	53.16	137.94	141.16
"Zm00001eb020260"	5.49	6.27	8.14	8.18	14.79	11.08	20.78	20.07	13.29	12.85	31.06	28.29
"Zm00001eb020280"	14.42	14.03	16.95	19.39	9.63	10.33	16.4	16.24	14.09	17.98	7.83	7.64
"Zm00001eb020330"	8.72	9.16	48.58	37.94	10.14	11.51	15.28	16.12	21.99	22.4	18.7	17.43
"Zm00001eb020590"	27.08	27.63	26.31	30.23	52.88	53.41	41.19	40.37	113.94	105.81	51.41	53.08
"Zm00001eb020660"	13.7	17.4	36.26	34.67	10.69	7.34	13.12	12.9	31.86	34.38	14.02	13.93
"Zm00001eb020680"	18.86	25.73	5.09	6.23	78.52	63.53	22.18	18.84	11.17	11.48	38.56	44.32
"Zm00001eb020690"	168.02	165.4	160.92	154.08	199.99	191.34	194.88	191.79	199.63	204.33	153.13	160.22
"Zm00001eb020710"	24.4	16.83	72.42	71.92	33.45	39.7	32.2	37.55	67.4	65.74	32.52	28.16
"Zm00001eb021270"	3.02	1.59	7.5	8.16	9.38	9.82	25.66	24.96	30.23	28.18	27.46	24.42
"Zm00001eb021380"	107.67	110.75	16.12	17.99	68.65	60.57	100.28	106.04	89.79	80.74	75.06	70.98
"Zm00001eb021390"	19.8	20.16	12.59	12.51	10.31	6.23	17.69	20.16	13.62	13.26	8.5	7.08
"Zm00001eb021710"	3.72	3.78	20.33	19.34	15.01	11.11	4.42	3.42	42.93	37.13	3.69	4.95
"Zm00001eb021790"	1.79	1.82	137.83	130.71	8.12	9.92	3.01	5.33	139.35	133.64	24.39	27.29
"Zm00001eb021890"	32.21	36.58	12.1	10	22.98	21.73	22.07	17.81	14.54	19.38	14.08	14.77
"Zm00001eb022000"	15.76	18.75	44.92	47.17	19.21	20.61	12.84	13.58	57.19	62	26.79	29.86
"Zm00001eb022440"	7.47	6.27	13.37	18.51	10.84	11.46	11.28	10.86	26.91	24.02	19.81	20.86
"Zm00001eb022670"	33.32	34.11	38.89	40.28	46.04	38.73	53.06	58.43	42.09	36.56	45.67	42.52
"Zm00001eb022750"	22.63	17.95	14.16	19.32	5.54	3.63	22.76	24.88	39.82	44.54	48.21	53.69
"Zm00001eb022930"	24.65	21.99	45.29	38.89	20.2	21.34	29.23	28.63	62.73	66.23	32.51	37.71
"Zm00001eb022980"	8.15	7.93	26.89	30.82	29.81	24.88	3.38	6.42	70.35	75.62	19.88	24.76
"Zm00001eb023110"	5.29	4.9	22.85	25.31	8.5	8.88	8.59	11.99	37.59	40.91	22.12	22.23
"Zm00001eb023160"	14.35	17.66	29.2	22.14	13.02	14.3	15.22	17.36	21.25	20.33	24.62	21.75
"Zm00001eb023600"	3.61	3.5	12.31	11.75	12.44	9.95	1.07	1.07	0.59	0.17	17.69	19.58
"Zm00001eb023780"	110.59	111.51	27.89	27.56	82.49	75.77	134.62	123.59	28.89	30.44	174.02	181.99
"Zm00001eb023810"	12.81	14.65	95.21	97.65	27.48	30.86	22.75	18.42	79.03	88.14	19.79	20.22
"Zm00001eb023870"	39.06	38.04	24.4	23.41	25.47	22.83	48.64	46.41	28.08	31.71	75.64	78.5
"Zm00001eb023950"	43.2	44.18	23.19	26.01	16.18	11.92	22.36	22.33	40.49	42.66	39.27	37.69
"Zm00001eb024030"	37.41	33.84	45.39	49.79	17.44	22.11	22.33	23.12	97.44	97.7	22.47	30.09
"Zm00001eb024180"	3.42	2.7	75.66	79.33	11.4	8.71	5.91	5.63	106.6	108.97	18.76	19.91
"Zm00001eb024190"	10.34	9.68	43.92	51.41	11.09	14.14	10.24	11.45	46.24	38.33	8.74	9.25
"Zm00001eb024200"	135.65	120.06	57.03	56.81	72.57	77.68	108.48	109.4	71.51	69.39	59.78	65.57
"Zm00001eb024230"	7.47	6.84	20.92	27.19	19.5	22.21	6.17	9.41	26.36	31.64	24.07	28.18
"Zm00001eb024280"	30.7	31.58	36.22	36.12	34.43	34.14	98.47	98.43	31.87	30	68.72	70.18
"Zm00001eb024700"	8.21	10.57	86.99	94.32	16.19	15.73	6.38	7.97	80.1	88.25	15.98	13.33
"Zm00001eb024870"	6.77	8.02	13.5	15.92	20.12	15.57	8.99	5.75	30.01	29.59	19.1	20.16
"Zm00001eb025030"	12.18	13.1	52.24	45.93	8.64	8.21	17.77	19.53	45.45	48.24	16.57	13.7
"Zm00001eb025040"	72.06	68.79	83.81	79.08	64.49	65.91	102.3	113.38	140.45	150.77	223.87	226.42
"Zm00001eb025310"	36.28	31.05	70.01	70.82	22.27	17.34	31.68	32.01	55.57	53.47	33.83	34.22
"Zm00001eb025350"	37.1	39.91	50.56	51.7	20.43	18.23	45.97	46.95	42.37	33.09	23.82	32.65
"Zm00001eb025410"	71.9	82.89	130.47	124.64	134.27	128.13	77.23	76.33	143.37	144.99	131.34	128.17
"Zm00001eb025800"	27.68	27.75	16.4	13.29	20.64	20.44	36.54	38.9	13.35	11.59	25.59	32.92
"Zm00001eb026930"	0.86	0.22	22.41	25.29	15.23	11.75	1.12	0.45	16.75	13.52	5.33	3.76
"Zm00001eb027820"	6.06	5.41	205.41	197.3	131.7	117.83	9.31	11.34	339.04	329.38	89.06	81.82
"Zm00001eb028030"	23.55	30.26	879.86	826.46	28.07	29.31	31.93	33.44	336.65	319.7	72.69	73.56
"Zm00001eb028060"	11.66	13.11	18.02	16.57	9.61	9.73	13	14.87	15.48	17.18	14.07	11.67
"Zm00001eb028170"	59.91	58.11	26.08	25.1	37.68	37.44	41.19	37.44	39.33	37.47	30.46	34.39
"Zm00001eb028430"	368.74	356.23	106.55	110.38	355.57	332.04	206.16	203.12	204.28	202.09	75.33	76.41
"Zm00001eb028440"	81.88	76.56	47.79	53.83	80.15	82.92	72.96	78.1	50.21	51.44	42.33	52.1
"Zm00001eb028460"	17.13	17.52	17.43	17.05	24.4	27.84	21.03	17.93	14.85	15.16	14.15	11.19
"Zm00001eb028710"	44.43	44.11	16.15	17.04	34.9	37.88	65.12	68.07	22.71	21.81	62.12	62.25
"Zm00001eb028810"	45.22	45.2	45.18	38.32	30.73	32.49	43.23	36.51	31.98	35.51	25.2	25.84
"Zm00001eb028820"	59.37	56.86	46.56	43.87	8.08	9.72	40.57	37.71	57.15	49.42	13.4	13.44
"Zm00001eb028930"	17.53	12.63	91.16	92.73	14.18	13.78	13.21	11.95	49.42	48.38	10.37	11.69
"Zm00001eb028940"	60.66	59.22	41.47	42.44	74.41	73.57	59.01	68.54	52.95	57.09	63.93	58.9
"Zm00001eb028980"	318.72	327.45	126.57	137.58	218.89	208.53	280.11	285.52	127.09	130.26	93.41	92.35
"Zm00001eb029040"	8.47	8.99	16.74	11.63	5.55	5.7	13.15	12.33	10.81	10.39	10.89	14.76
"Zm00001eb029200"	517.3	515.49	200.76	203.62	711.31	705.08	1069.28	1050.29	374.86	382.04	938.89	910.72
"Zm00001eb029250"	28	32.82	32.28	28.81	27.9	31.54	43.63	47.6	37.47	37.73	59.68	62.33
"Zm00001eb029520"	3.28	2.96	629.83	577.23	14.91	12.5	8.88	5.86	243.36	262.74	27.05	27.51
"Zm00001eb030210"	25.78	22.99	79.19	78.33	22.38	23.58	20.65	23.26	40.37	43.96	27.48	26.92
"Zm00001eb030390"	12.3	11.71	50.96	54.83	22.95	20.57	15.99	18.28	53.64	57.85	78.39	75.7
"Zm00001eb030970"	31.11	27.94	26.14	25.52	24.99	27.25	24.35	25.45	64.21	69.41	14.21	14.76
