gene_id	treatment_1	treatment_2	treatment_3	control_1	control_2	control_3
Zm00001eb248360	593.532555	321.9105187	1186.859729	518.9750084	414.8793062	455.7496786
Zm00001eb207550	903.9972929	1016.41134	919.6676618	206.4701747	446.8353792	544.0731184
Zm00001eb252720	651.0179381	381.7467742	878.5718617	488.9768372	492.9177746	368.8839941
Zm00001eb096950	606.3202678	324.6628574	1252.813089	332.6050557	312.227655	375.9994548
Zm00001eb053750	703.1974346	818.3552185	438.894035	337.0553102	467.9944575	606.337823
#N/A	447.2762242	432.5333913	700.6729218	278.1806098	440.8287529	512.1256794
Zm00001eb219680	1299.000507	1071.826159	1308.858268	282.5333169	325.6416946	479.1045022
Zm00001eb121780	99.68350656	163.5970217	62.49814022	86.40015995	406.2528403	380.2483921
Zm00001eb013430	426.8701797	331.93476	980.3397105	1397.471384	1135.185163	641.4405245
Zm00001eb305640	498.3228705	515.7049984	632.3644772	179.9832716	323.2711948	431.4928902
Zm00001eb246090	800.4879853	757.6888477	838.1128982	156.6861365	281.5763374	434.9307489
Zm00001eb168470	658.4126318	519.9188116	811.3425618	373.8835941	448.9327363	511.4123008
Zm00001eb195010	411.9189285	152.4491269	888.2757474	895.2304847	745.2261558	1394.91094
Zm00001eb320280	845.1037535	626.7318489	1450.563524	200.2743956	267.1485987	364.8323504
Zm00001eb297120	484.9340034	676.5281563	491.7645069	185.8921038	279.8553155	445.1958951
Zm00001eb034050	905.9457794	738.9146286	1236.36034	335.937433	468.9581196	524.4175477
Zm00001eb029520	536.8722784	308.9894781	1305.131914	217.3182647	346.7385589	321.3772455
Zm00001eb179570	663.1093377	583.7229678	750.7552926	294.4899291	418.9182228	552.4007404
Zm00001eb323110	490.9323106	474.2906783	532.1334662	737.9113612	520.5612449	577.2986906
Zm00001eb312080	377.0064887	380.2261109	472.1916822	263.6614722	328.4222929	347.3479596
Zm00001eb129820	543.4335523	505.3969581	572.5900757	426.9626452	450.3693679	507.4825654
Zm00001eb227610	402.7715308	486.111109	836.2403795	189.7294375	499.0540079	598.9853309
Zm00001eb165580	566.2661434	481.1976522	981.6650742	340.4342713	562.3480498	344.0844626
Zm00001eb256150	532.3467038	456.8275043	764.6833574	223.4610305	339.0459888	368.7320612
Zm00001eb106240	522.0779637	553.362981	506.1200888	224.4098474	355.9473161	390.3961206
Zm00001eb257670	391.1265492	231.646736	551.9337155	445.472673	434.4665902	400.4589349
Zm00001eb279660	461.6906314	249.0156619	733.227221	405.3663495	333.0421292	337.9888418
Zm00001eb274190	358.796012	404.8428285	474.9133317	193.1018052	350.7319843	440.3136587
Zm00001eb395600	463.5743981	337.0581367	599.6248635	1270.564468	561.9196635	508.7864059
Zm00001eb124960	51.58785422	48.82499529	163.6321133	76.73947856	28.01830926	19.02446526
Zm00001eb415460	586.7748266	697.9673959	667.3501102	494.3118697	426.1313345	594.1048938
Zm00001eb280080	474.7092643	653.4455899	475.3308541	287.073783	409.1530877	602.3402319
Zm00001eb254450	692.1763022	453.7224061	974.0409302	263.1269605	219.4328001	322.6504151
Zm00001eb062600	503.3785289	549.087676	584.6453965	530.1312647	467.8303568	561.6095712
Zm00001eb130870	146.5707753	240.5166996	128.9870196	981.0365225	819.2904939	349.157761
Zm00001eb389540	411.1329355	275.3027486	528.5906821	733.0796204	547.3300387	362.9439061
Zm00001eb402840	427.6357582	479.0309977	363.3521386	245.93421	322.3571936	402.186706
Zm00001eb075420	628.4126093	767.6928758	488.1165581	137.3353216	274.0724387	416.7960431
Zm00001eb081750	649.2909523	440.5624584	1006.999167	268.1266321	288.2965007	375.9543801
Zm00001eb015200	247.4892968	430.1760296	203.2207617	729.461066	521.4022838	651.5135777
Zm00001eb228000	461.2671816	308.6610281	946.5879544	153.3769099	257.1973064	266.9529001
Zm00001eb115000	627.7647547	566.5921092	456.8181985	437.1751235	374.0065147	495.0269059
Zm00001eb188280	352.668137	301.7992759	406.5734409	134.7534435	308.4903786	321.6750863
#N/A	330.0375686	386.8674596	292.9997532	551.3934498	409.5158282	399.1420045
Zm00001eb414340	245.9900191	236.0014506	441.348588	545.0642057	762.0601151	644.3698986
Zm00001eb330890	313.8008943	268.0702493	482.2214131	368.7965232	469.6932947	459.1741923
Zm00001eb190110	386.8435711	260.5012069	652.8921321	191.2302665	273.4101627	320.9560581
Zm00001eb335070	352.6531949	344.1273897	291.0521452	322.3679536	330.2402498	227.9282467
Zm00001eb300990	565.0051176	579.6151037	703.0697835	179.4182925	321.1362651	384.6160809
Zm00001eb059930	401.8898017	335.3459533	598.8616376	546.9222637	374.7481956	465.0597178
Zm00001eb389930	391.36678	466.9770537	447.9678347	202.8906284	255.6828983	385.9787387
Zm00001eb124940	488.7994193	460.6196326	1091.130787	725.7450524	455.7924895	321.1565831
Zm00001eb321790	399.3102315	398.0971125	460.4156691	209.5036591	273.6678841	379.3672483
Zm00001eb294720	385.7869549	404.2120163	382.9898357	185.4185613	262.0354803	302.6552977
Zm00001eb241500	188.0098249	199.6987968	200.3246501	132.4628045	265.1761492	144.666352
Zm00001eb056010	568.1455648	528.8749393	833.4255686	356.1325594	497.6072516	509.8166599
Zm00001eb328730	410.2806179	420.0712518	554.8368221	196.8496559	251.4876949	317.6218321
Zm00001eb352350	214.1028484	270.7352751	320.8554281	581.7559285	422.8175356	511.7951057
Zm00001eb031790	444.1624838	320.1745628	661.4992617	227.3327994	308.1358684	346.0926006
Zm00001eb134340	122.3990896	197.8344293	171.034302	186.69561	278.5401101	324.250226
Zm00001eb261260	447.1018259	182.1264309	1468.652043	135.673	179.4957408	137.8895059
Zm00001eb100840	427.0321058	264.4598755	726.6158949	158.8856022	315.7224226	254.8749581
Zm00001eb385410	329.1659784	393.6839824	371.4612129	234.0278055	300.1465149	367.1940607
Zm00001eb056950	644.2345441	525.926211	648.7189041	133.246214	170.7726782	195.5998318
#N/A	418.0064694	383.1570859	474.2750426	369.8492914	328.8574403	362.5218643
Zm00001eb379240	568.5467531	529.6929655	580.6086661	122.2025098	297.6593468	333.2668744
Zm00001eb361620	757.1526815	259.1970615	886.4660831	202.4272067	46.73677996	63.07409733
Zm00001eb019830	369.1458065	210.0759666	482.7625799	264.4126445	371.2977519	306.9967053
Zm00001eb368000	1068.697931	1062.645884	885.1116073	365.7177068	313.9194161	317.6563736
Zm00001eb226060	360.0688411	256.9573851	687.472989	215.1246703	350.3547702	259.5821663
Zm00001eb165610	371.8993251	172.2854645	770.424605	370.7153782	1127.601787	499.5843926
Zm00001eb159080	488.6769546	390.473398	690.5988213	148.3574102	236.1120367	286.7653255
Zm00001eb344820	223.471024	166.1928531	349.3620396	598.9470349	407.5786155	460.1636408
Zm00001eb302140	245.1274461	317.3729229	257.4952199	598.0752474	409.6489876	423.8175967
#N/A	301.0391374	274.109533	416.3363231	281.6206554	328.1154741	317.3496413
Zm00001eb362560	549.5602855	266.3448865	901.480425	316.845325	263.7787095	341.803448
Zm00001eb041630	486.6349045	460.5505799	457.5642229	159.4958382	318.58905	430.8967477
Zm00001eb036930	481.1206191	272.4304918	618.2588838	521.0998381	1197.50621	402.4219689
Zm00001eb056910	175.5921405	315.3562737	120.9230733	373.7279083	422.8704376	563.781521
Zm00001eb261430	402.7609357	363.9829287	462.8523142	499.0931928	414.0753299	461.2369936
Zm00001eb255160	638.4113375	407.4354256	708.2079117	236.1758426	267.2218669	429.7756167
Zm00001eb173410	367.4135942	266.3293567	480.3375265	330.847019	299.0881227	352.509514
Zm00001eb359240	365.880334	265.2439495	706.8965076	540.8294433	226.8712302	249.6648933
Zm00001eb003360	229.8302407	244.9777203	294.2818817	407.3453869	380.3702876	497.138086
Zm00001eb192400	459.6486172	290.1310255	531.8320534	323.296364	317.9618865	374.9763848
Zm00001eb081140	375.6550996	408.1897454	435.8511685	228.842965	323.5617228	355.1763621
Zm00001eb386480	368.1620886	369.944875	292.7612158	179.9943768	335.3963151	372.8385239
Zm00001eb008360	566.0727635	544.1179508	585.4134186	495.5611998	462.578508	566.057909
Zm00001eb417370	243.2107305	257.7425847	290.056422	496.6471077	487.0632684	350.2525046
Zm00001eb398560	271.3558107	270.3375101	468.5409969	488.9994198	492.2088244	502.0955897
Zm00001eb322950	534.0012885	364.4025032	400.1293109	122.1185159	184.3211711	268.5601433
Zm00001eb114860	292.8779341	217.1255909	576.1173108	237.0521348	302.7636214	281.5697551
Zm00001eb003440	226.7607423	113.7641292	544.5349429	988.8356232	515.1893594	329.8067439
Zm00001eb312390	451.4663036	248.011846	795.9424532	293.6492494	299.4812604	265.1316116
Zm00001eb163880	326.0341765	270.8261116	348.2313518	330.0380296	266.5252235	305.9061308
Zm00001eb409220	599.5577956	332.6616565	891.8052397	357.8291294	393.4083477	258.2088706
Zm00001eb291810	272.718135	236.8218238	328.6375949	307.3313948	241.8029173	309.5592326
Zm00001eb267030	99.14208232	82.05718428	212.0505605	1.215942442	143.3370963	6.789209903
#N/A	482.971953	400.1636176	476.1195439	406.1595168	354.5224556	379.598901
Zm00001eb154580	257.8680346	319.4167615	274.2579782	742.7680634	523.0652919	667.9510949
Zm00001eb269650	306.7874955	227.0887134	382.7006069	421.6702769	313.0304407	398.1332608
Zm00001eb096140	296.8645119	343.8970383	362.0482378	171.1163679	279.3092115	364.5862377
Zm00001eb401220	484.2060672	486.6919149	428.3038975	321.9147377	381.8197128	493.1657927
Zm00001eb356910	68.09253434	100.6638884	113.9244476	43.47755807	187.9421645	257.0768758
Zm00001eb409580	550.3120877	316.6350307	668.4864376	260.5479406	240.2395868	288.5251007
Zm00001eb049190	34.75870459	68.73693564	36.31657556	422.4695928	445.9591966	607.0820593
Zm00001eb145680	327.8361583	192.7442462	721.7614046	154.1108562	190.9890606	206.0196404
Zm00001eb278300	342.6556879	293.7138161	538.6220551	219.2172978	281.9937512	365.4419323
Zm00001eb108410	275.1740446	219.8893632	351.182476	206.0080839	228.6162805	235.0260904
Zm00001eb018910	273.6756315	192.108598	330.1755126	406.7842698	440.6181077	397.9590343
#N/A	294.7263328	255.1631632	380.2176065	477.5517945	291.8960928	307.4782162
Zm00001eb212520	221.2621176	110.8476136	720.712913	152.3375788	237.9894681	173.0378114
Zm00001eb413850	84.24822711	130.0929151	64.73204025	147.8461616	236.5825364	236.7731945
Zm00001eb259960	51.06443034	68.11621088	125.2351411	1172.759399	662.8933623	414.9303725
Zm00001eb140530	291.9966055	328.8419804	390.3580735	95.64957768	182.5065281	248.3949247
Zm00001eb063710	259.8448911	299.257507	239.3877213	535.3707151	251.5029335	246.8333486
Zm00001eb188360	233.8852196	255.7451803	321.2134021	104.751869	188.922465	271.5436344
Zm00001eb233070	404.83007	397.9875094	447.6008965	319.3314721	332.3240213	429.9037792
Zm00001eb213630	403.3370109	419.0670024	493.0637341	202.3173194	194.9144586	261.4794901
Zm00001eb423570	265.5204673	326.6398012	239.4340188	202.3847809	221.5981115	310.2848911
Zm00001eb110630	354.8957545	309.1842748	421.4590639	195.1197091	277.6502005	338.4793667
Zm00001eb354140	290.4515734	271.902866	462.2482361	336.838463	252.1923823	259.011863
Zm00001eb426630	355.2757906	296.8023231	458.1320715	277.3169822	316.786119	331.3014366
Zm00001eb314900	344.132989	285.7913409	312.3184331	88.46412563	276.3847308	295.3112832
Zm00001eb122890	363.2985799	342.2974027	199.1508198	267.1677796	272.5296147	358.5890049
Zm00001eb330880	346.0270766	234.0203854	454.6270277	140.3154289	223.7378495	284.4610556
Zm00001eb433610	327.6994083	249.9672788	474.1604808	216.0535633	317.0052988	296.6236016
Zm00001eb025140	401.4225274	217.024699	641.4103494	177.6530538	167.2908039	179.7599956
Zm00001eb043810	95.83509659	359.9574556	12.52455082	108.0294916	142.6344944	309.2695396
#N/A	228.6822462	254.6667368	293.284616	165.773876	259.3242166	346.1944674
Zm00001eb397050	275.4814381	353.620788	298.17471	81.96504122	130.7770103	181.6958716
Zm00001eb402240	280.0775717	160.1659363	691.6773654	99.77169232	158.736631	170.0647679
Zm00001eb132640	410.6457561	376.282093	605.7785672	357.773932	442.2791939	245.0748033
Zm00001eb267640	461.4950616	369.7902794	66.48421714	36.21217035	169.8079329	144.069193
#N/A	304.2871737	339.1281048	284.1226036	426.2445769	322.1344587	316.4179118
Zm00001eb066480	209.9441824	94.9217524	481.6009603	170.2596469	288.1509826	182.0651909
Zm00001eb081810	366.6451739	343.2336213	552.9792599	64.10269808	176.8675241	213.9567832
Zm00001eb361960	411.5979409	378.2488687	447.1212106	130.7168942	196.0000443	248.8168095
Zm00001eb160550	294.0139818	214.6333383	474.6962675	134.6891944	171.2995635	195.4025946
Zm00001eb373490	356.0035545	311.7317313	268.7094956	50.58673859	86.30649922	105.9415172
Zm00001eb266370	626.7193691	259.2548988	218.8333082	601.8759971	362.0996341	257.2047553
Zm00001eb364680	361.8731649	397.523561	282.264297	196.7574781	219.510852	309.3113939
Zm00001eb387780	254.3583809	133.2713917	502.5203786	300.9810894	297.8027229	340.7672284
Zm00001eb011940	530.1918021	307.8379194	576.992372	176.0751889	188.7671124	271.3831622
Zm00001eb194220	453.1068716	283.6865393	377.7964748	156.7591462	182.2414977	198.9661901
Zm00001eb246600	298.1960214	256.3566442	428.9188735	264.9003062	264.7879399	226.5597769
Zm00001eb142810	267.4667488	286.3635427	438.6097567	96.61547107	194.8522682	268.9889816
Zm00001eb334140	0	0	0	0	0	0
Zm00001eb125010	386.5849187	322.6474258	421.3969561	106.4932584	84.7900963	108.0191128
Zm00001eb319770	480.7315349	396.6837284	507.1833476	63.51215762	152.2856491	169.7482182
Zm00001eb122820	346.1418451	277.9128286	399.2340775	110.4017662	157.1088249	199.5653565
Zm00001eb240700	79.37232981	102.4707967	86.60736019	241.3037776	125.2595073	149.8195839
Zm00001eb122410	272.0033539	165.8123791	419.8067435	374.1098983	375.8031596	278.6693852
Zm00001eb113350	237.8638151	207.8073319	462.7440043	116.6794789	135.5120728	170.8710068
Zm00001eb045790	347.6278938	261.0821761	380.0132731	244.6300097	218.1077934	231.6598071
Zm00001eb037520	415.0803666	200.9099952	566.0958427	204.7702303	346.5150224	359.6109235
Zm00001eb005460	213.0966318	113.5681213	311.8779181	186.5153501	183.5001138	191.6998003
Zm00001eb169330	347.0276643	356.7908021	555.2278319	66.49513069	127.6438432	258.1167353
